# prefix,country_code,region_code,city,postal
74.84.175.0/24,US,US-NJ,Secacus,

# Frankfurt VDLFRN2,,,,
77.247.2.0/24,DE,DE-HE,Frankfurt,
77.247.7.0/24,DE,DE-HE,Frankfurt,
194.32.209.0/24,DE,DE-HE,Frankfurt,
207.179.6.0/24,DE,DE-HE,Frankfurt,
207.179.31.88/29,DE,DE-HE,Frankfurt,
207.179.31.0/24,DE,DE-HE,Frankfurt,

# London VGBLON3,,,,
64.254.119.0/24,GB,GB-LND,London,

# SINGAPORE VSGSNG3,,,,
64.254.120.48/28,SG,SG,SINGAPORE,
64.254.120.184/29,SG,SG,SINGAPORE,
119.31.161.0/24,SG,SG,SINGAPORE,

# Hong Kong VCNHON2,,,,
64.254.121.197/32,HK,HK,Hong Kong,

# Mumbai,,,,
119.31.171.0/24,IN,IN,India,

# Amsterdam,,,,
77.247.0.0/24,NL,,Amsterdam,

# Chicago,,,,
69.26.48.0/24,US,US-IL,Chicago,

## GN IP List,,,,
209.212.233.0/24,AU,,,
209.212.229.0/24,CN,,,
117.103.121.0/24,CN,,,
117.103.122.0/24,JP,,,
209.212.228.0/24,JP,,,
209.212.236.0/24,KR,,,
117.103.123.0/24,MY,,,
209.212.234.0/24,MY,,,
117.103.120.0/24,SG,,,
209.212.232.0/24,SG,,,
209.212.235.0/24,TH,,,
119.31.169.0/24,AU,,,
69.26.60.0/24,AU,,,
194.26.118.0/24,BE,,,
185.71.51.0/24,BE,,,
77.247.13.0/24,BE,,,
69.26.36.0/24,BR,,,
74.84.164.0/24,BR,,,
64.254.118.0/24,US,,,
64.254.96.0/24,US,,,
69.26.61.0/24,US,,,
74.220.100.0/24,US,,,
74.220.119.0/24,US,,,
74.220.98.0/24,US,,,
207.179.4.0/23,US,,,
64.254.110.0/24,US,,,
64.254.97.0/24,US,,,
69.26.32.0/24,US,,,
69.26.47.0/24,US,,,
74.220.104.0/24,US,,,
46.235.104.0/24,CH,,,
119.31.165.0/24,CN,,,
119.31.174.0/24,CN,,,
207.179.28.0/24,CN,,,
64.254.121.0/24,CN,,,
69.26.55.0/24,CN,,,
74.220.105.0/24,CN,,,
43.229.50.0/24,CN,,,
146.236.202.0/24,US,,,
207.179.17.0/24,US,,,
207.179.3.0/24,US,,,
69.26.49.0/24,US,,,
69.26.58.0/24,US,,,
74.84.172.0/24,US,,,
119.31.160.0/20,US,,,
207.179.0.0/19,US,,,
64.254.102.0/24,US,,,
64.254.104.0/24,US,,,
64.254.96.0/19,US,,,
69.26.32.0/19,US,,,
69.26.35.0/24,US,,,
74.220.96.0/19,US,,,
74.220.96.0/20,US,,,
74.84.160.0/19,US,,,
77.247.0.0/20,US,,,
207.179.12.0/24,CA,,,
74.84.162.0/24,CA,,,
77.247.6.0/24,CZ,,,
46.235.107.0/24,DK,,,
46.235.110.0/24,DE,,,
193.29.5.0/24,DE,,,
212.11.80.0/24,DE,,,
46.235.111.0/24,DE,,,
77.247.14.0/24,ES,,,
207.179.20.0/24,US,,,
64.254.111.0/24,US,,,
74.84.171.0/24,US,,,
46.235.109.0/24,FR,,,
77.247.1.0/24,FR,,,
77.247.15.0/24,FR,,,
205.235.119.0/24,US,,,
207.179.21.0/24,US,,,
64.254.103.0/24,US,,,
69.26.41.0/24,US,,,
74.220.108.0/24,US,,,
74.84.170.0/24,US,,,
69.26.46.0/24,GB,,,
69.26.53.0/24,GB,,,
77.247.10.0/24,GB,,,
77.247.11.0/24,GB,,,
77.247.9.0/24,GB,,,
185.71.50.0/24,GB,,,
195.130.210.0/24,GB,,,
185.71.48.0/24,GB,,,
46.235.106.0/24,HU,,,
46.235.108.0/24,IE,,,
146.236.200.0/24,US,,,
207.179.2.0/24,US,,,
64.254.109.0/24,US,,,
64.254.126.0/24,US,,,
74.220.102.0/24,US,,,
74.220.120.0/24,US,,,
74.84.163.0/24,US,,,
77.247.3.0/24,IT,,,
119.31.166.0/24,JP,,,
64.254.116.0/24,JP,,,
69.26.43.0/24,JP,,,
74.220.97.0/24,JP,,,
185.71.49.0/24,NL,,,
134.188.0.0/16,NL,,,
64.254.100.0/24,US,,,
64.254.113.0/24,US,,,
64.254.124.0/24,US,,,
69.26.37.0/24,US,,,
69.26.38.0/24,US,,,
69.26.59.0/24,US,,,
74.220.112.0/24,US,,,
74.220.124.0/24,US,,,
74.84.174.0/24,US,,,
74.220.117.0/24,US,,,
119.31.173.0/24,PH,,,
207.179.27.0/24,PH,,,
46.235.105.0/24,PL,,,
77.247.12.0/24,SE,,,
117.103.124.0/24,SG,,,
119.31.167.0/24,SG,,,
119.31.168.0/24,SG,,,
206.197.59.0/24,SG,,,
64.254.120.0/24,SG,,,
74.220.96.0/24,SG,,,
207.179.26.0/24,US,,,
64.254.105.0/24,US,,,
64.254.115.0/24,US,,,
74.84.168.0/24,US,,,
64.254.101.0/24,US,,,
64.254.114.0/24,US,,,
69.26.34.0/24,US,,,
74.220.103.0/24,US,,,
74.220.113.0/24,US,,,
74.84.161.0/24,US,,,
74.220.121.0/24,US,,,
207.179.13.0/24,US,,,
207.179.9.0/24,US,,,
64.254.98.0/24,US,,,
